,UMAP_1,UMAP_2,cluster,dbscan_cluster
1137,9.797486,6.810085,18,18
1138,-1.9671658,1.0736822,8,8
1139,-4.2708797,-4.4412313,11,11
1140,-7.8119454,0.08942725,13,13
1141,-7.7939777,0.10783695,13,13
1142,13.153811,-1.5295469,1,1
1143,-8.534814,-0.6539108,13,13
1144,12.267857,20.710123,12,12
1145,8.535762,-9.743757,9,9
1146,-4.491723,16.221104,0,0
1147,2.5452573,-0.30716595,14,14
1148,-1.8196963,-10.767855,4,4
1149,8.086024,-1.1266811,15,15
1150,12.63192,20.247576,12,12
1151,12.623156,20.257607,12,12
1152,13.715441,2.8565984,18,18
1153,14.902666,7.0318313,6,6
1154,14.896645,7.0232315,6,6
1155,1.1435199,6.9494815,20,20
1156,-2.1592376,0.8450938,8,8
1157,20.485334,9.658341,21,21
1158,13.663811,17.990526,12,12
1159,-6.940045,10.34258,19,19
1160,18.44635,17.656101,29,29
1161,1.1885253,-1.5834068,14,14
1162,-1.0791328,-7.349282,27,27
1163,-0.9008301,-7.1742945,27,27
1164,-10.797579,6.965964,5,5
1165,-10.7842245,6.950805,5,5
1166,-10.778265,6.9487925,5,5
1167,-10.788466,6.9519124,5,5
1168,-10.783524,6.951284,5,5
1169,-10.80875,6.968313,5,5
1170,18.92631,-9.033486,22,22
1171,22.307701,11.49674,21,21
1172,22.310177,11.49937,21,21
1173,12.493716,16.189573,12,12
1174,21.098215,-0.94713026,17,17
1175,8.086523,-1.7692531,15,15
1176,8.071505,-1.7320826,15,15
1177,18.374321,-7.8920655,22,22
1178,8.368093,17.51744,16,16
1179,18.044964,1.6178248,17,17
1180,-0.9089511,11.038936,19,19
1181,-4.9245024,4.216328,13,13
1182,-4.910793,4.231062,13,13
1183,0.43870232,2.6077077,8,8
1184,-2.992453,22.558905,2,2
1185,2.7125976,13.059119,30,30
1186,10.658052,-0.19299527,1,1
1187,15.389395,7.91968,6,6
1188,15.392311,7.9318132,6,6
1189,15.395078,7.9320254,6,6
1190,20.085146,0.16437194,17,17
1191,13.572643,2.8947258,18,18
1192,13.726549,12.665451,7,7
1193,-1.3000926,-7.570869,27,27
1194,-1.3085328,-7.5791035,27,27
1195,-1.3082542,-7.576198,27,27
1196,1.5122014,-9.015345,3,3
1197,8.254552,-9.98138,9,9
1198,10.883604,-4.5178566,15,15
1199,4.4240446,-8.859387,24,24
1200,18.774324,18.28323,29,29
1201,19.409887,-4.7072563,25,25
1202,6.5740995,-15.093475,26,26
1203,20.193163,0.06755759,17,17
1204,8.19522,-0.95731014,15,15
1205,-3.0204554,22.530037,2,2
1206,19.137962,-4.7996445,25,25
1207,11.916756,16.033606,12,12
1208,8.263305,-2.6582499,15,15
1209,13.977692,12.725077,7,7
1210,8.12441,-2.3903985,15,15
1211,13.259035,6.064856,6,6
1212,8.691646,-3.2868068,15,15
1213,-8.938907,6.768323,5,5
1214,8.065663,-1.6527686,15,15
1215,2.6099274,7.8348846,20,20
1216,8.2724695,17.640959,16,16
1217,1.1454339,18.604902,10,10
1218,1.1604023,18.606798,10,10
1219,18.958384,18.77351,29,29
1220,1.3984828,22.759312,2,2
1221,7.5595884,9.678522,23,23
1222,11.243562,-9.263835,9,9
1223,11.241786,-9.254602,9,9
1224,-8.832133,-0.9327184,13,13
1225,-8.832093,-0.93276995,13,13
1226,12.692884,16.269442,12,12
1227,13.198878,-1.5658299,1,1
1228,8.646874,-0.39795375,15,15
1229,-1.4995794,14.618303,0,0
1230,8.735569,-0.3245708,15,15
1231,18.391033,21.024324,29,29
1232,12.879536,19.893642,12,12
1233,-6.8724365,1.2431244,13,13
1234,0.29212645,-10.19806,4,4
1235,18.69265,18.06096,29,29
1236,13.580027,18.49934,12,12
1237,15.14273,8.483038,6,6
1238,19.256075,9.648379,21,21
1239,7.68457,9.915383,23,23
1240,10.675668,-9.145929,9,9
1241,18.664276,20.65696,29,29
1242,-1.9286538,1.1170226,8,8
1243,4.6082535,-9.362876,24,24
