artist,title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,tag,hdbscan_cluster,dbscan_cluster
chet atkins,sukiyaki,26TnXanT3UXyst5dSVn6q2,0.667,0.483,4,-10.782,0,0.0289,0.709,0.846,0.147,0.853,92.735,audio_features,spotify:track:26TnXanT3UXyst5dSVn6q2,https://api.spotify.com/v1/tracks/26TnXanT3UXyst5dSVn6q2,https://api.spotify.com/v1/audio-analysis/26TnXanT3UXyst5dSVn6q2,145827,4,not_hot,-1,0
willie nelson,night life,29YEXL7Ki29NlNdXpOhov5,0.254,0.771,5,-6.438,1,0.0406,0.548,0.32,0.839,0.523,74.421,audio_features,spotify:track:29YEXL7Ki29NlNdXpOhov5,https://api.spotify.com/v1/tracks/29YEXL7Ki29NlNdXpOhov5,https://api.spotify.com/v1/audio-analysis/29YEXL7Ki29NlNdXpOhov5,177177,4,not_hot,48,8
jimmy cliff,let's seize the time,7aJZxI6TVdIvQSuWxQ4rqp,0.799,0.662,7,-8.585,1,0.0347,0.00482,0.000505,0.0484,0.717,120.082,audio_features,spotify:track:7aJZxI6TVdIvQSuWxQ4rqp,https://api.spotify.com/v1/tracks/7aJZxI6TVdIvQSuWxQ4rqp,https://api.spotify.com/v1/audio-analysis/7aJZxI6TVdIvQSuWxQ4rqp,196000,4,not_hot,53,27
michael brecker,the nearness of you,3qf5hNUHntfOl8UTRiYWWc,0.374,0.0104,7,-25.467,1,0.0395,0.978,0.826,0.119,0.205,37.623,audio_features,spotify:track:3qf5hNUHntfOl8UTRiYWWc,https://api.spotify.com/v1/tracks/3qf5hNUHntfOl8UTRiYWWc,https://api.spotify.com/v1/audio-analysis/3qf5hNUHntfOl8UTRiYWWc,73560,4,not_hot,280,2
ac/dc,flick of the switch,0oIox8T3bdGZnhQKnaDK2a,0.442,0.906,2,-4.429,1,0.0391,3.32e-05,0.144,0.088,0.705,129.483,audio_features,spotify:track:0oIox8T3bdGZnhQKnaDK2a,https://api.spotify.com/v1/tracks/0oIox8T3bdGZnhQKnaDK2a,https://api.spotify.com/v1/audio-analysis/0oIox8T3bdGZnhQKnaDK2a,193600,4,not_hot,188,11
delinquent habits,tres delinquentes,1dstLlsgEFPsaiccsUz2SP,0.826,0.698,11,-4.004,1,0.15,0.0177,0.00761,0.314,0.604,100.108,audio_features,spotify:track:1dstLlsgEFPsaiccsUz2SP,https://api.spotify.com/v1/tracks/1dstLlsgEFPsaiccsUz2SP,https://api.spotify.com/v1/audio-analysis/1dstLlsgEFPsaiccsUz2SP,255693,4,not_hot,276,18
robbie robertson,sonny got caught in the moonlight,4RiC0i1VIybdCtTIVhqVVH,0.544,0.355,5,-17.764,0,0.0479,0.0642,1.73e-05,0.117,0.746,81.525,audio_features,spotify:track:4RiC0i1VIybdCtTIVhqVVH,https://api.spotify.com/v1/tracks/4RiC0i1VIybdCtTIVhqVVH,https://api.spotify.com/v1/audio-analysis/4RiC0i1VIybdCtTIVhqVVH,295373,4,not_hot,-1,21
queen,too much love will kill you,5eDwoZdv3Qftzs8ijKviYg,0.409,0.396,7,-7.6,1,0.0306,0.584,5.64e-05,0.159,0.21,73.08,audio_features,spotify:track:5eDwoZdv3Qftzs8ijKviYg,https://api.spotify.com/v1/tracks/5eDwoZdv3Qftzs8ijKviYg,https://api.spotify.com/v1/audio-analysis/5eDwoZdv3Qftzs8ijKviYg,259213,4,not_hot,263,6
dennis brown,get myself together,5PlKshBRuMKgS8xBHWScN8,0.764,0.491,1,-10.517,0,0.0791,0.0163,2.83e-06,0.0591,0.966,137.517,audio_features,spotify:track:5PlKshBRuMKgS8xBHWScN8,https://api.spotify.com/v1/tracks/5PlKshBRuMKgS8xBHWScN8,https://api.spotify.com/v1/audio-analysis/5PlKshBRuMKgS8xBHWScN8,188240,4,not_hot,103,14
the beatles,long tall sally,507IFqPuG8mBQoKebfGG9t,0.474,0.608,5,-5.139,1,0.0825,0.755,0.0,0.0928,0.888,184.694,audio_features,spotify:track:507IFqPuG8mBQoKebfGG9t,https://api.spotify.com/v1/tracks/507IFqPuG8mBQoKebfGG9t,https://api.spotify.com/v1/audio-analysis/507IFqPuG8mBQoKebfGG9t,127427,4,not_hot,182,2
